planet_name,facility,log_mass_earth,radius_earth,radius_sigma_earth
K2-395 b,K2,0.8609366207,2.597000,0.185000
K2-207 b,K2,0.8633228601,2.605853,0.289556
K2-277 b,K2,0.8692317197,2.185751,0.162530
K2-212 b,K2,0.8756399370,2.650000,0.190000
HIP 41378 e,K2,0.8819549713,5.190000,0.040000
EPIC 212737443 c,K2,0.8864907252,2.690000,0.146000
EPIC 220674823 c,K2,0.8976270913,2.712000,0.071000
K2-216 b,K2,0.9030899870,1.750000,0.135000
K2-249 b,K2,0.9138138524,2.790000,0.245000
K2-70 b,K2,0.9395192526,2.890000,0.470000
K2-317 b,K2,0.9498777040,2.930000,0.180000
K2-73 b,K2,0.9637878273,2.580000,0.095000
K2-195 b,K2,0.9982593384,3.130000,0.120000
K2-233 d,K2,1.0128372247,2.363000,0.062000
K2-63 b,K2,1.0211892991,3.220000,0.990000
EPIC 211945201 b,K2,1.0413926852,5.760000,0.300000
K2-266 b,K2,1.0518400460,3.300000,1.550000
K2-199 c,K2,1.0934216852,2.850000,0.095000
K2-225 b,K2,1.1038037210,3.609292,0.252202
K2-266 e,K2,1.1553360375,2.730000,0.125000
HD 106315 c,K2,1.1818435879,4.350000,0.230000
WASP-47 d,K2,1.1903316982,3.650000,0.030000
K2-43 b,K2,1.2671717284,4.510000,0.315000
GJ 238 b,TESS,-0.8996294549,0.566000,0.014000
TOI-700 e,TESS,-0.0872466963,0.953000,0.082000
HD 63433 d,TESS,0.0969100130,1.073000,0.045000
LHS 1815 b,TESS,0.1986570870,1.088000,0.064000
TOI-1411 b,TESS,0.3010299957,1.198806,0.047050
TOI-5728 b,TESS,0.3560258572,1.310000,0.050000
TOI-1693 b,TESS,0.4099331233,1.410000,0.100000
TOI-2104 b,TESS,0.4698220160,1.528981,0.130875
TOI-198 b,TESS,0.5010592622,1.360000,0.130000
TOI-178 e,TESS,0.5415792439,2.301000,0.038500
HD 21749 c,TESS,0.5682017241,0.892000,0.061000
TOI-1846 b,TESS,0.5877109650,1.792000,0.066500
L 168-9 b,TESS,0.6095944092,1.630000,0.140000
TOI-178 g,TESS,0.6434526765,2.939000,0.056000
LHS 1903 c,TESS,0.6580113967,2.046000,0.076000
TOI-5624 c,TESS,0.6812412374,2.474000,0.042000
TOI-5789 c,TESS,0.6989700043,2.860000,0.165000
TOI-4438 b,TESS,0.7323937598,2.520000,0.130000
TOI-1269 c,TESS,0.7481880270,2.229992,0.217071
HD 28109 d,TESS,0.7634279936,3.110000,0.150000
HD 28109 b,TESS,0.7923916895,2.690000,0.230000
TOI-209 b,TESS,0.8007170783,2.394721,0.209240
TOI-5788 c,TESS,0.8061799740,2.272000,0.039000
TOI-2274 b,TESS,0.8175653696,2.450000,0.180000
TIC 445839811 b,TESS,0.8260748027,2.477712,0.388388
TOI-5605 b,TESS,0.8401060945,2.526113,0.310555
TOI-2076 c,TESS,0.8573324964,3.540000,0.140000
TOI-1203.01,TESS,0.8686444384,2.918000,0.045500
TOI-815 b,TESS,0.8808135923,2.940000,0.050000
HD 191939 c,TESS,0.9030899870,3.195000,0.075000
TOI-1750 b,TESS,0.9132839018,2.789438,0.294232
TOI-1774.01,TESS,0.9294189257,2.780000,0.045000
TOI-269 b,TESS,0.9444826722,2.770000,0.120000
TOI-1467 b,TESS,0.9542425094,1.920000,0.142000
TOI-6054.02,TESS,0.9684829486,2.820000,0.165000
TOI-836.01,TESS,0.9822712330,2.587000,0.088000
TOI-2227 b,TESS,0.9907826918,3.098852,0.244267
TOI-669 b,TESS,1.0000000000,2.586065,0.120286
HD 63935 b,TESS,1.0211892991,2.915752,0.085025
HD 77946 b,TESS,1.0374264979,2.896461,0.164556
TOI-1260 d,TESS,1.0733517024,3.120000,0.080000
TOI-1410.01,TESS,1.0969100130,3.100830,0.190752
TOI-7009 b,TESS,1.1238516410,3.710000,0.150000
TOI-220 b,TESS,1.1398790864,3.030000,0.150000
TOI-5486 b,TESS,1.1731862684,3.968249,0.367604
TOI-5502 b,TESS,1.2013971243,4.128738,0.368202
HD 21520 b,TESS,1.2479732664,2.697000,0.090000
TIC 365102760 b,TESS,1.2833012287,6.210000,0.760000
TOI-5126 b,TESS,1.3053513694,4.740000,0.150000
TIC 88785435 b,TESS,1.3483048630,5.030000,0.205000
TOI-1272 b,TESS,1.3820170426,4.260000,0.100000
TIC 77552382 b,TESS,1.4393326938,5.691762,0.604036
LP 714-47 b,TESS,1.4885507165,4.700000,0.300000
TOI-4029 b,TESS,1.5634810854,6.737566,0.471840
TOI-849 b,TESS,1.6211762818,3.640000,0.380000
TOI-2328 b,TESS,1.7063126938,9.975993,0.392314
TOI-5398 b,TESS,1.7686381012,10.300000,0.400000
TOI-907.01,TESS,1.8260748027,9.615885,0.611628
HD 332231 b,TESS,1.8698182080,9.073033,0.181275
TOI-4994 b,TESS,1.9493507425,8.541243,0.319456
TOI-3877 b,TESS,1.9991223592,11.679758,0.487591
TOI-4633 c,TESS,2.0899051114,3.200000,0.195000
TOI-615 b,TESS,2.1406819681,18.976804,0.610889
TOI-4214 b,TESS,2.2181960548,10.682159,0.347478
NGTS-27 b,TESS,2.2752474045,15.647737,0.409128
TOI-2524 b,TESS,2.3083726851,11.208981,0.280225
TOI-1789 b,TESS,2.3472907512,16.140932,2.129706
TOI-169 b,TESS,2.4003713714,12.172974,0.722981
TOI-1478 b,TESS,2.4466753833,11.993609,1.457167
TOI-2803 A b,TESS,2.4911973269,18.113713,0.369896
TOI-5205 b,TESS,2.5352941200,11.600000,0.300000
TOI-1181 b,TESS,2.5737065163,17.026442,0.661330
TIC 87422071 b,TESS,2.6127824215,10.861502,0.958368
TOI-481 b,TESS,2.6868863187,11.096910,0.112090
TIC 237913194 b,TESS,2.7904441135,12.520453,0.566055
TOI-4562 b,TESS,2.8645110811,12.530000,0.150000
TOI-2180 b,TESS,2.9423143143,11.321071,0.229784
TIC 46432937 b,TESS,3.0073426895,13.316269,0.336269
TOI-5301 b,TESS,3.0727356510,13.092089,0.818256
TOI-172 b,TESS,3.2361941744,10.816685,0.341874
