row_id,split_role,group_key,color,spine,width,weight,satellites
87,fit,lightmedium,lightmedium,bothgood,28.0,2.62,0.0
88,test,lightmedium,lightmedium,bothgood,26.0,2.3,
89,fit,darkmedium,darkmedium,onebroken,24.7,1.9,0.0
90,fit,medium,medium,bothbroken,25.8,2.65,0.0
91,fit,lightmedium,lightmedium,bothgood,27.1,2.95,8.0
92,fit,medium,medium,bothbroken,27.4,2.7,5.0
93,fit,darkmedium,darkmedium,bothbroken,26.7,2.6,2.0
94,test,medium,medium,bothgood,26.8,2.7,
95,fit,lightmedium,lightmedium,bothbroken,25.8,2.6,0.0
96,test,dark,dark,bothbroken,23.7,1.85,
97,validation,medium,medium,bothbroken,27.9,2.8,6.0
98,fit,medium,medium,bothgood,30.0,3.3,5.0
99,fit,medium,medium,bothbroken,25.0,2.1,4.0
100,validation,medium,medium,bothbroken,27.7,2.9,5.0
101,fit,medium,medium,bothbroken,28.3,3.0,15.0
102,fit,dark,dark,bothbroken,25.5,2.25,0.0
103,fit,medium,medium,bothbroken,26.0,2.15,5.0
104,test,medium,medium,bothbroken,26.2,2.4,
105,fit,darkmedium,darkmedium,bothbroken,23.0,1.65,1.0
106,fit,medium,medium,onebroken,22.9,1.6,0.0
107,fit,medium,medium,bothbroken,25.1,2.1,5.0
108,fit,darkmedium,darkmedium,bothgood,25.9,2.55,4.0
109,fit,dark,dark,bothgood,25.5,2.75,0.0
110,test,medium,medium,bothgood,26.8,2.55,
111,fit,medium,medium,bothgood,29.0,2.8,1.0
112,test,darkmedium,darkmedium,bothbroken,28.5,3.0,
113,fit,medium,medium,onebroken,24.7,2.55,4.0
114,test,medium,medium,bothbroken,29.0,3.1,
115,fit,medium,medium,bothbroken,27.0,2.5,6.0
116,fit,dark,dark,bothbroken,23.7,1.8,0.0
117,fit,darkmedium,darkmedium,bothbroken,27.0,2.5,6.0
118,fit,medium,medium,bothbroken,24.2,1.65,2.0
119,fit,dark,dark,bothbroken,22.5,1.47,4.0
120,fit,medium,medium,bothbroken,25.1,1.8,0.0
121,fit,medium,medium,bothbroken,24.9,2.2,0.0
122,test,medium,medium,bothbroken,27.5,2.63,
123,test,medium,medium,bothgood,24.3,2.0,
124,test,medium,medium,bothbroken,29.5,3.02,
125,fit,medium,medium,bothbroken,26.2,2.3,0.0
126,fit,medium,medium,bothbroken,24.7,1.95,4.0
127,fit,darkmedium,darkmedium,onebroken,29.8,3.5,4.0
128,fit,dark,dark,bothbroken,25.7,2.15,0.0
129,fit,darkmedium,darkmedium,bothbroken,26.2,2.17,2.0
130,fit,dark,dark,bothbroken,27.0,2.63,0.0
131,fit,darkmedium,darkmedium,bothbroken,24.8,2.1,0.0
132,fit,medium,medium,bothgood,23.7,1.95,0.0
133,fit,medium,medium,bothbroken,28.2,3.05,11.0
134,validation,medium,medium,bothbroken,25.2,2.0,1.0
135,test,medium,medium,onebroken,23.2,1.95,
136,test,dark,dark,bothbroken,25.8,2.0,
137,fit,dark,dark,bothbroken,27.5,2.6,0.0
138,fit,medium,medium,onebroken,25.7,2.0,0.0
139,validation,medium,medium,bothbroken,26.8,2.65,0.0
140,validation,darkmedium,darkmedium,bothbroken,27.5,3.1,3.0
141,validation,darkmedium,darkmedium,bothgood,28.5,3.25,9.0
142,fit,medium,medium,bothbroken,28.5,3.0,3.0
143,test,lightmedium,lightmedium,bothgood,27.4,2.7,
144,fit,medium,medium,bothbroken,27.2,2.7,3.0
145,fit,darkmedium,darkmedium,bothbroken,27.1,2.55,0.0
146,fit,medium,medium,bothbroken,28.0,2.8,1.0
147,validation,medium,medium,bothgood,26.5,1.3,0.0
148,validation,darkmedium,darkmedium,bothbroken,23.0,1.8,0.0
149,test,darkmedium,darkmedium,onebroken,26.0,2.2,
150,validation,darkmedium,darkmedium,onebroken,24.5,2.25,0.0
151,validation,medium,medium,bothbroken,25.8,2.3,0.0
152,test,dark,dark,bothbroken,23.5,1.9,
153,fit,dark,dark,bothbroken,26.7,2.45,0.0
154,fit,darkmedium,darkmedium,bothbroken,25.5,2.25,0.0
155,fit,medium,medium,bothbroken,28.2,2.87,1.0
156,validation,medium,medium,bothgood,25.2,2.0,1.0
157,fit,medium,medium,bothbroken,25.3,1.9,2.0
158,validation,darkmedium,darkmedium,bothbroken,25.7,2.1,0.0
159,fit,dark,dark,bothbroken,29.3,3.23,12.0
160,fit,darkmedium,darkmedium,bothbroken,23.8,1.8,6.0
161,validation,medium,medium,bothbroken,27.4,2.9,3.0
162,test,medium,medium,bothbroken,26.2,2.02,
163,fit,medium,medium,bothgood,28.0,2.9,4.0
164,fit,medium,medium,bothgood,28.4,3.1,5.0
165,fit,medium,medium,bothgood,33.5,5.2,7.0
166,fit,medium,medium,bothbroken,25.8,2.4,0.0
167,fit,darkmedium,darkmedium,bothbroken,24.0,1.9,10.0
168,test,medium,medium,bothgood,23.1,2.0,
169,fit,medium,medium,bothbroken,28.3,3.2,0.0
170,test,medium,medium,bothbroken,26.5,2.35,
171,validation,medium,medium,bothbroken,26.5,2.75,7.0
172,fit,darkmedium,darkmedium,bothbroken,26.1,2.75,3.0
173,test,medium,medium,onebroken,24.5,2.0,
